entry_threshold,exit_threshold,total_trades,total_return,sharpe_ratio,max_drawdown,win_rate,final_capital
1.0,0.2,1,-0.034697065905015916,0.0,0.0,0.0,39986121.17363799
1.0,0.5,1,-0.034697065905015916,0.0,0.0,0.0,39986121.17363799
1.0,0.8,1,-0.034697065905015916,0.0,0.0,0.0,39986121.17363799
1.5,0.2,1,-0.034697065905015916,0.0,0.0,0.0,39986121.17363799
1.5,0.5,1,-0.034697065905015916,0.0,0.0,0.0,39986121.17363799
1.5,0.8,1,-0.034697065905015916,0.0,0.0,0.0,39986121.17363799
1.5,1.0,2,-0.08217282982619478,-0.2448122654205185,-0.08559201876541535,50.0,39967130.86806952
2.0,0.2,1,-0.034697065905015916,0.0,0.0,0.0,39986121.17363799
2.0,0.5,1,-0.034697065905015916,0.0,0.0,0.0,39986121.17363799
2.0,0.8,1,-0.034697065905015916,0.0,0.0,0.0,39986121.17363799
2.0,1.0,2,-0.08231161554137245,-0.2504554667137834,-0.08761665385725322,50.0,39967075.35378345
2.0,1.5,3,-0.08798165746679529,-0.315539422145054,-0.09521945081798378,33.33333333333333,39964807.33701328
2.5,0.2,1,-0.034697065905015916,0.0,0.0,0.0,39986121.17363799
2.5,0.5,1,-0.034697065905015916,0.0,0.0,0.0,39986121.17363799
2.5,0.8,1,-0.034697065905015916,0.0,0.0,0.0,39986121.17363799
2.5,1.0,2,-0.08749633110377938,-0.25176863503974184,-0.08809570250730331,50.0,39965001.46755849
2.5,1.5,2,-0.07334321820074692,-0.253733132421832,-0.07394199901318675,50.0,39970662.7127197
2.5,2.0,6,-0.14385021173980087,-0.5308523237378897,-0.14680533353542982,16.666666666666664,39942459.91530408
3.0,0.2,1,-0.034697065905015916,0.0,0.0,0.0,39986121.17363799
3.0,0.5,1,-0.034697065905015916,0.0,0.0,0.0,39986121.17363799
3.0,0.8,1,-0.034697065905015916,0.0,0.0,0.0,39986121.17363799
3.0,1.0,2,-0.09588113523285836,-0.2531612759332018,-0.08860724334551236,0.0,39961647.54590686
3.0,1.5,2,-0.08172802232982591,-0.2553876360875669,-0.0744535398513958,0.0,39967308.79106807
3.0,2.0,5,-0.1715642629866861,-0.5162331711107917,-0.17292964299090488,20.0,39931374.294805326
3.5,0.2,1,-0.09055549355445429,-0.2417188622074379,-0.005721311017926782,0.0,39963777.80257822
3.5,0.5,1,-0.09055549355445429,-0.2417188622074379,-0.005721311017926782,0.0,39963777.80257822
3.5,0.8,1,-0.09055549355445429,-0.2417188622074379,-0.005721311017926782,0.0,39963777.80257822
3.5,1.0,2,-0.1784007999557629,-0.25722107005370237,-0.1715710673231259,0.0,39928639.680017695
3.5,1.5,2,-0.1584183127273433,-0.2593693189437909,-0.15158858009470627,0.0,39936632.67490906
3.5,2.0,2,-0.13595649229988455,-0.2626238655911796,-0.12912675966724754,0.0,39945617.403080046
4.0,0.2,1,-0.09055549355445429,-0.2417188622074379,-0.005721311017926782,0.0,39963777.80257822
4.0,0.5,1,-0.09055549355445429,-0.2417188622074379,-0.005721311017926782,0.0,39963777.80257822
4.0,0.8,1,-0.09055549355445429,-0.2417188622074379,-0.005721311017926782,0.0,39963777.80257822
4.0,1.0,2,-0.19835999455917627,-0.2583649376945981,-0.17236099092498422,0.0,39920656.00217633
4.0,1.5,2,-0.17837750733075664,-0.2606677562259169,-0.15237850369656458,0.0,39928648.9970677
4.0,2.0,2,-0.1559156869032979,-0.26415430142935703,-0.12991668326910585,0.0,39937633.72523868
